theta	gen	t	P	cov	var.prs.geno	var.prs.lanc	mean.theta	var.theta	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
0.1	100	28	0.6	neg	0.947771764696088	0.00611753255941742	0.03141452	0.0052143794657535	0.929210354964249	0.00733058096102527	0.0012562455453473	-0.00251163723321618	0.935285544237406	0.030092477385817	0.0049714038987591	-0.00239460193019825	0.929183383508	0.00703169738847373	0.0011977080001476	0.935018186966423	0.00583480345842308
0.1	100	28	0.6	pos	0.96282630838947	0.0296209763630819	0.03141452	0.0052143794657535	0.929210354964249	0.00733058096102527	0.0012562455453473	0.0210998406711275	0.958897022141749	0.030092477385817	0.0049714038987591	0.0201166468348849	0.929183383508	0.00703169738847373	0.0011977080001476	0.957529435731506	0.0283460522235062
0.1	100	28	0.9	neg	0.928872340489097	0.00343164438682567	0.031240865	0.0161177357411122	0.929206812167531	0.00729121047144795	0.00388307637732141	-0.00776351346663394	0.932617585549667	0.030092477385817	0.0155242416964267	-0.00747764210838039	0.929183383508	0.00703169738847373	0.00374009210570806	0.932477530893801	0.00329414738580141
0.1	100	28	0.9	pos	1.01018289185885	0.0762872492558963	0.031240865	0.0161177357411122	0.929206812167531	0.00729121047144795	0.00388307637732141	0.0652199668916237	1.00560106590792	0.030092477385817	0.0155242416964267	0.0628184098387903	0.929183383508	0.00703169738847373	0.00374009210570806	1.00277358284097	0.0735901993329721
0.1	100	29	0	neg	0.93482062504482	0.00702454758190606	0.03248454	0.0020807371665745	0.929232184818525	0.00757192531835248	0.000501290098604295	-0.00100223947536394	0.936303160760118	0.0311138388027364	0.00198125444292893	-0.000954321115296162	0.929204220661414	0.00726270245690766	0.00047732277339531	0.93598992477642	0.0067857041150068
0.1	100	29	0	pos	0.947898164809841	0.0164332752839563	0.03248454	0.0020807371665745	0.929232184818525	0.00757192531835248	0.000501290098604295	0.00841964474997622	0.945725044985458	0.0311138388027364	0.00198125444292893	0.00801709069110161	0.929204220661414	0.00726270245690766	0.00047732277339531	0.944961336582818	0.0157571159214046
0.1	100	29	0.3	neg	0.929361085698461	0.00685564102563642	0.032451275	0.00297700083298675	0.929231506167563	0.00756443135530723	0.00071721746748525	-0.00143394744946217	0.936079207540894	0.0311138388027364	0.00283291879504127	-0.00136454670609121	0.929204220661414	0.00726270245690766	0.000682505299043666	0.935784881711274	0.00658066104986011
0.1	100	29	0.3	pos	0.944939823906491	0.0202726281400074	0.032451275	0.00297700083298675	0.929231506167563	0.00756443135530723	0.00071721746748525	0.0120463506091913	0.949559505599547	0.0311138388027364	0.00283291879504127	0.0114633266723667	0.929204220661414	0.00726270245690766	0.000682505299043666	0.948612755089732	0.019408534428318
0.1	100	29	0.6	neg	0.938798953993717	0.00634867581401179	0.03247299	0.0051793639896225	0.929231949182914	0.00756929508798375	0.00124780963534177	-0.00249477114700842	0.935554282759231	0.0311138388027364	0.00496251795070982	-0.00239032178946059	0.929204220661414	0.00726270245690766	0.00119556720223935	0.9352721685311	0.00606794786968642
0.1	100	29	0.6	pos	0.966263394834608	0.0296399032755603	0.03247299	0.0051793639896225	0.929231949182914	0.00756929508798375	0.00124780963534177	0.0209581515262849	0.959007205432524	0.0311138388027364	0.00496251795070982	0.0200806900946279	0.929204220661414	0.00726270245690766	0.00119556720223935	0.957743180415188	0.0285389597537749
0.1	100	29	0.9	neg	0.932633631332748	0.00360115895988099	0.032296875	0.0163155667775807	0.929228356198871	0.00752944895412921	0.00393073772608347	-0.00785880376921806	0.932829739109866	0.0311138388027364	0.0157220821368917	-0.00757293694063637	0.929204220661414	0.00726270245690766	0.003787755720076	0.932681741897761	0.00347752123634728
0.1	100	29	0.9	pos	1.00847759240006	0.0775273022450058	0.032296875	0.0163155667775807	0.929228356198871	0.00752944895412921	0.00393073772608347	0.0660204846477065	1.00670902752679	0.0311138388027364	0.0157220821368917	0.0636189656478824	0.929204220661414	0.00726270245690766	0.003787755720076	1.00387364448628	0.074669423824866
0.1	100	30	0	neg	0.927160264249273	0.00730548181457087	0.03355293	0.002073372543866	0.929253981418598	0.00781232355997264	0.000499515817593203	-0.00099869211930273	0.936567128676862	0.0321341246746997	0.00197708391971199	-0.000952312277722594	0.929225035872257	0.00749296241473256	0.000476318013145802	0.936242004022412	0.00701696815015577
0.1	100	30	0	pos	0.939110538444469	0.0166700956561843	0.03355293	0.002073372543866	0.929253981418598	0.00781232355997264	0.000499515817593203	0.00838984401016185	0.945955664806326	0.0321341246746997	0.00197708391971199	0.0080002147855465	0.929225035872257	0.00749296241473256	0.000476318013145802	0.945194531085681	0.0159694952134249
0.1	100	30	0.3	neg	0.935088300649406	0.00714498624598121	0.03352268	0.002982432913663	0.929253364277711	0.00780552419447816	0.000718526161491186	-0.00143656394796787	0.936340850685713	0.0321341246746997	0.00282695801141744	-0.00136167554449143	0.929225035872257	0.00749296241473256	0.000681069230202992	0.936037391972701	0.00681235610044413
0.1	100	30	0.3	pos	0.959066039095819	0.0205575084792715	0.03352268	0.002982432913663	0.929253364277711	0.00780552419447816	0.000718526161491186	0.012068331371722	0.949845746005403	0.0321341246746997	0.00282695801141744	0.0114392065281455	0.929225035872257	0.00749296241473256	0.000681069230202992	0.948838274045337	0.0196132381730811
0.1	100	30	0.6	neg	0.934672312059002	0.0065933878007175	0.03353668	0.005190243080659	0.929253649896634	0.00780863794541851	0.00125043062020522	-0.00250001133527824	0.93581270712698	0.0321341246746997	0.0049533336142663	-0.00238589792243568	0.929225035872257	0.00749296241473256	0.00119335451675685	0.93552545488131	0.00630041900905373
0.1	100	30	0.6	pos	0.965938385940401	0.0301475540981611	0.03353668	0.005190243080659	0.929253649896634	0.00780863794541851	0.00125043062020522	0.021002173463895	0.959314891926153	0.0321341246746997	0.0049533336142663	0.0200435259340789	0.929225035872257	0.00749296241473256	0.00119335451675685	0.957954878737825	0.0287298428655683
0.1	100	30	0.9	neg	0.931517951064258	0.00377647576738962	0.033354735	0.0165265063709867	0.929249937972711	0.0077675535619407	0.00398155718145569	-0.00796040813848915	0.933038640577619	0.0321341246746997	0.015907749572309	-0.00766236833834197	0.929225035872257	0.00749296241473256	0.00383248662050066	0.932888116569148	0.00366308069689125
