t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
17	0	neg	0.78213281	0.77281655	0.79210346	0.78678106	0.77715457	0.79769184	0.99290302	0.938037994	0.059919598	0.00505801	-0.010112582	0.79825179	0.78786883	0.80875093	0.79337742	0.78196249	0.80360829	0.79287085	0.78282102	0.80410345	0.991147	0.9830926	0.998479	0.9913208	0.9823432	1.0013348
17	0	pos	2.08416721	2.02045275	2.14823123	0.78591532	0.77674629	0.79684021	1.087969701	0.938037994	0.059919598	0.00505801	0.084954099	0.79947305	0.79065644	0.81169672	2.09730418	2.04845098	2.14867251	2.09529235	2.04844351	2.15182122	0.9837558	0.9768296	0.9909133	1.0828033	1.0722059	1.093842
17	0.9	neg	0.05818401	0.05658387	0.05954426	0.07748111	0.07558834	0.07921459	0.959715393	0.938037994	0.059919598	0.03826821	-0.076510409	0.09733949	0.09519621	0.09922011	0.07348427	0.0717832	0.0754081	0.07351477	0.07151932	0.07509941	0.9402158	0.9310389	0.9514275	0.9402537	0.9310159	0.949719
17	0.9	pos	5.76807276	5.70174719	5.81718574	0.08099115	0.07997949	0.08230033	1.678976837	0.938037994	0.059919598	0.03826821	0.642751035	0.10194957	0.10040286	0.10373999	6.5427994	6.48288594	6.60220392	6.54646248	6.48314003	6.60095903	0.96356	0.9534803	0.9721851	1.6896817	1.6811976	1.6974648
18	0	neg	0.79940119	0.78715765	0.80978374	0.80246786	0.79203603	0.81552584	0.993849272	0.938410406	0.060154965	0.004719307	-0.009435405	0.81431299	0.80272479	0.82567052	0.80975749	0.79778099	0.82279174	0.80996357	0.79814098	0.82467363	0.9885915	0.9803759	0.9994851	0.9896967	0.9804853	0.9986122
18	0	pos	1.99732584	1.93565208	2.05523659	0.80060024	0.78818702	0.81827638	1.082549927	0.938410406	0.060154965	0.004719307	0.079265249	0.81130353	0.79404216	0.82330188	2.00279675	1.94483794	2.06042814	2.00141359	1.92651051	2.05791485	0.9776266	0.9701984	0.9861076	1.0718494	1.0624795	1.082656
18	0.9	neg	0.06553022	0.06365713	0.06794592	0.08367098	0.08252286	0.08521526	0.961197917	0.938410406	0.060154965	0.03739287	-0.074760324	0.10462073	0.10310999	0.10695382	0.0822491	0.08010432	0.0847975	0.08169968	0.07973659	0.08424733	0.9721776	0.962945	0.9840784	0.972212	0.9622954	0.9811764
18	0.9	pos	5.80483667	5.7151116	5.86771186	0.08167803	0.08019424	0.0828629	1.664007111	0.938410406	0.060154965	0.03739287	0.62804887	0.10228551	0.10082778	0.10389104	6.56643565	6.46856882	6.63200554	6.57474018	6.48265384	6.64634063	0.9601757	0.9509577	0.9702045	1.6746874	1.6539383	1.6914631
19	0	neg	0.82307137	0.80730678	0.83950878	0.8293231	0.81116404	0.84790524	0.994599716	0.938770132	0.060229868	0.004403277	-0.00880356	0.83848307	0.82416295	0.86293597	0.83629483	0.82094534	0.85717094	0.83518747	0.81718023	0.85371456	0.9912623	0.9811919	1.0024661	0.9928395	0.9818625	1.0033732
19	0	pos	1.85832028	1.81259424	1.90639247	0.84501381	0.83346506	0.85871629	1.0773605	0.938770132	0.060229868	0.004403277	0.073957224	0.85601057	0.84063563	0.87337076	1.86197797	1.81832946	1.90391406	1.86023093	1.82052435	1.89571523	0.9957154	0.9869454	1.0072181	1.079364	1.0707266	1.0876709
