t	P	cov	vgamma_GRMstd_mean	vgamma_GRMstd_CIl	vgamma_GRMstd_CIr	vgamma_GRMstd_ganc_mean	vgamma_GRMstd_ganc_CIl	vgamma_GRMstd_ganc_CIr	vgamma_GRMvarX_mean	vgamma_GRMvarX_CIl	vgamma_GRMvarX_CIr	vgamma_GRMvarX_ganc_mean	vgamma_GRMvarX_ganc_CIl	vgamma_GRMvarX_ganc_CIr	vgamma_GRMld_mean	vgamma_GRMld_CIl	vgamma_GRMld_CIr	vgamma_GRMld_ganc_mean	vgamma_GRMld_ganc_CIl	vgamma_GRMld_ganc_CIr	vgamma_gcta	vgamma_GCTA_wganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
10	0.9	neg	0.05578821875	0.0422488375	0.07086810625	0.06118098	0.05071865	0.072212740625	0.10009647125	0.080026203125	0.122195478125	0.09367415	0.06381645	0.1181875375	NA	NA	NA	NA	NA	NA	0.055642875	0.06191525	0.09898175	0.0934664	0.0116170644745408	0.316979871622802	0.166755036963778	-0.0803217645388691	0.9350362741174	0.0521599407566331	0.0401745353835118
10	0.9	pos	0.084883055	0.0767663575	0.0945825525	0.05710974	0.0417863875	0.0719054275	0.149430201	0.1335400425	0.1670075725	0.100586219	0.07346111	0.1295829675	0.768399688	0.7588327675	0.78015785	NA	NA	NA	0.0847306	0.0571725	0.1507564	0.1017138	0.777566742849496	0.316979871622802	0.166755036963778	0.674769593228146	0.9350362741174	0.0521599407566331	0.0401745353835118
11	0	neg	0.0514849711111111	0.0469964111111111	0.0558366027777778	0.0523238788888889	0.0483075638888889	0.0567623777777778	0.056422396	0.0498655475	0.0637260125	0.056364474	0.049783945	0.062018655	0.05157123	0.04929	0.0532485	0.0527032266666667	0.0521183333333333	0.0533123333333333	0.0516552222222222	0.0523741111111111	0.0563793	0.0572347	0.0463716713119682	0.340246044613552	0.0318103276610102	-0.0153222457013214	0.935510935493778	0.0540812834511587	0.00766372732990341
11	0	pos	0.06873118	0.061954	0.076687	0.072976	0.072976	0.072976	0.0688383042857143	0.0632039714285714	0.0755810035714286	0.0618164344444444	0.0568579111111111	0.0689502666666667	0.182672369	0.1756386975	0.190133425	0.065311	0.065311	0.065311	0.0693205	0.072976	0.0688397142857143	0.0615701111111111	0.189178124513389	0.340246044613552	0.0318103276610102	0.12871960120123	0.935510935493778	0.0540812834511587	0.00766372732990341
11	0.9	neg	0.0473638622222222	0.0359679777777778	0.0610812666666667	0.049806375	0.0405721175	0.0609737875	0.0828538911111111	0.0634317083333333	0.104869186111111	0.088433251	0.069497995	0.1062557775	NA	NA	NA	NA	NA	NA	0.0472317777777778	0.0504881	0.0830397777777778	0.0887889	0.0130120742422795	0.340246044613552	0.168370960480146	-0.0811001148097679	0.935510935493778	0.0540812834511587	0.0405638428231393
11	0.9	pos	0.086780833	0.07895114	0.09441256	0.0621916	0.048885245	0.074253675	0.15310407	0.1413818825	0.16734496	0.108082379	0.0879414375	0.12634095	0.78122757	0.77141037	0.7918986925	NA	NA	NA	0.0868415	0.0626742	0.152597	0.110139	0.785693720100217	0.340246044613552	0.168370960480146	0.681308382542583	0.935510935493778	0.0540812834511587	0.0405638428231393
12	0	neg	0.0549226977777778	0.0495903638888889	0.0598419027777778	0.0556587688888889	0.0511019777777778	0.0617823805555556	0.059699523	0.0530437775	0.0659994875	0.061009505	0.055310805	0.067255195	0.0551961975	0.0490714875	0.0603045	0.0549526975	0.049108	0.0614595	0.0550538888888889	0.0557231111111111	0.0598745	0.0606536	0.0485862098653665	0.362719686340369	0.0296853850101259	-0.0142987135407906	0.935969428161158	0.0556895273482719	0.00715178726937959
12	0	pos	0.0681487425	0.0618765	0.075953	0.06631969	0.05877762	0.0722038	0.0721474388888889	0.0671947	0.0780765805555556	0.064171315	0.0569707475	0.0705161725	0.185508354	0.17689526	0.1931164975	0.064725	0.064725	0.064725	0.06821275	0.0655556	0.0721892222222222	0.0646856	0.183171701649705	0.362719686340369	0.0296853850101259	0.120121080195344	0.935969428161158	0.0556895273482719	0.00715178726937959
12	0.9	neg	0.0517884022222222	0.0444266583333333	0.0597745944444444	0.053451094	0.0430377025	0.0618347275	0.09004029	0.0742969694444444	0.1065482	0.091374439	0.0687223725	0.11083095	NA	NA	NA	NA	NA	NA	0.0518556666666667	0.0527841	0.0902103333333333	0.091835	0.0146258944202673	0.362719686340369	0.168825855539295	-0.0813192264749752	0.935969428161158	0.0556895273482719	0.0406734359003999
12	0.9	pos	0.081689337	0.0714431	0.0934316275	0.055906486	0.044658495	0.07075471	0.141101619	0.12608352	0.159007485	0.098321816	0.0780507925	0.1194964575	0.784298395	0.7734753125	0.79791293	NA	NA	NA	0.0813678	0.0564071	0.1411301	0.0978154	0.787541320627781	0.362719686340369	0.168825855539295	0.683149102676812	0.935969428161158	0.0556895273482719	0.0406734359003999
13	0	neg	0.056779368	0.05123637	0.06248707	0.057157564	0.0516071875	0.0626405475	0.063264208	0.05803981	0.06874293	0.064009355	0.0581762375	0.0700317925	0.05446384	0.0508744821428571	0.0594037785714285	0.0546977171428571	0.0501301607142857	0.0586876571428571	0.0565925	0.057258	0.0632051	0.0639486	0.0504054303400912	0.384427793327541	0.0277000032304767	-0.0133424043897849	0.936412302885129	0.0570119221764343	0.00667347014020272
13	0	pos	0.0666673	0.062911	0.070819	0.063369885	0.059526	0.066579	0.06747443125	0.06327206875	0.07220695625	0.06150889	0.0576722166666667	0.06599525	0.171759902	0.165353085	0.1789117375	NA	NA	NA	0.066865	0.0630525	0.067522125	0.0613441111111111	0.174180116011072	0.384427793327541	0.0277000032304767	0.112087288351638	0.936412302885129	0.0570119221764343	0.00667347014020272
13	0.9	neg	0.0570291177777778	0.0380777166666667	0.0753429333333333	0.060065464	0.0446864575	0.07507468	0.0975842388888889	0.0605113333333333	0.136463133333333	0.099199347	0.0689474425	0.13174357	NA	NA	NA	NA	NA	NA	0.058505	0.0580786	0.100828888888889	0.1000957	0.0157070008675329	0.384427793327541	0.168284183091637	-0.0810583162944488	0.936412302885129	0.0570119221764343	0.0405429364605574
13	0.9	pos	0.078946982	0.069993725	0.08891727	0.052299961	0.03860919	0.068500245	0.137607851	0.11971804	0.154380255	0.089832108	0.064341815	0.1207841825	0.785161208	0.7719307425	0.7957053475	NA	NA	NA	0.0792641	0.0535255	0.1359938	0.0918399	0.786014633392821	0.384427793327541	0.168284183091637	0.680957240266995	0.936412302885129	0.0570119221764343	0.0405429364605574
14	0	neg	0.056435303	0.0517235825	0.0611035775	0.056814578	0.0512804975	0.0611981725	0.061983262	0.05601915	0.06808673	0.0628654	0.0583137725	0.067776595	0.0548619571428571	0.0517364892857143	0.0583046642857143	0.0546465357142857	0.0518240392857143	0.057607775	0.056345	0.0569997	0.0623828	0.063108	0.0518530368086684	0.405396442498639	0.0258462531089591	-0.012449498943056	0.936840091670172	0.0580736788283875	0.00622686564054209
14	0	pos	0.0675890033333333	0.0643746875	0.0709989833333333	0.0616991885714286	0.0578939035714286	0.0655958714285714	0.070676294	0.06634392	0.0744862025	0.064960016	0.0609657125	0.0692377725	0.166742136	0.158926735	0.1744116775	NA	NA	NA	0.0674086666666667	0.0617434285714286	0.0705101	0.0651347	0.167825450101953	0.405396442498639	0.0258462531089591	0.104586140331055	0.936840091670172	0.0580736788283875	0.00622686564054209
14	0.9	neg	0.056905366	0.0481135225	0.0666328125	0.060228534	0.0515345625	0.0684479075	0.096989549	0.0834879275	0.1125198775	0.102954064	0.091818355	0.1176229675	NA	NA	NA	NA	NA	NA	0.0569199	0.0606554	0.0969762	0.1033351	0.0171078986188521	0.405396442498639	0.166892249123203	-0.0803878562321806	0.936840091670172	0.0580736788283875	0.0402075924644504
14	0.9	pos	0.075063873	0.06730682	0.08620314	0.050041485	0.039363875	0.062041145	0.126885798	0.11141679	0.14293169	0.086565257	0.0643324875	0.1128905825	0.782909664	0.7648767825	0.800097885	NA	NA	NA	0.0753186	0.0506763	0.1275902	0.0858127	0.778137816841632	0.405396442498639	0.166892249123203	0.675324818393674	0.936840091670172	0.0580736788283875	0.0402075924644504
15	0	neg	0.05890792	0.0552355444444445	0.0619239722222222	0.0595390144444444	0.05614935	0.0626572722222222	0.062332517	0.056684105	0.06683128	0.063684306	0.0585704675	0.06848438	0.05472864375	0.05259653125	0.05729454375	0.054404615	0.051264265625	0.057095721875	0.0588411111111111	0.0594667777777778	0.0625786	0.063281	0.0531429900486545	0.425650822501482	0.0241160039176405	-0.0116160808306613	0.937253308398754	0.0588981131856073	0.00581001491972087
15	0	pos	0.0661403425	0.06377125625	0.0681445	0.06332331	0.059513935	0.06776769	0.069818341	0.0665410475	0.073357665	0.063783633	0.060033405	0.0683796475	0.162771611	0.1583757525	0.1669345175	0.064654	0.064654	0.064654	0.0663505	-7284630070.80978	0.0696208	0.0640909	0.162005635232248	0.425650822501482	0.0241160039176405	0.0975847353704185	0.937253308398754	0.0588981131856073	0.00581001491972087
