t	P	cov	vg_gcta	vg_GRMvarX	vg_GRMld	vg_gcta_wganc	vg_GRMvarX_ganc	vg_GRMld_ganc	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
7	0	pos	0.9768206	0.9875279	1.1514731	0.9765136	0.9872097	1.0012727	1.15050624043666	0.242141716744801	0.0417730893949302	0.169033637916573	0.933509474604039	0.0442109167834001	0.0100639506220119	1.15681797992602	0.223308505321985
7	0.9	neg	0.97473	1.0129632	0.9325919	0.9748741	1.0131498	0.9334619	0.938080977786408	0.242141716744801	0.152980919704693	-0.0736871139558385	0.933509474604039	0.0442109167834001	0.0368560823323937	0.940889359763994	0.0073798851599553
7	0.9	pos	0.9829588	1.022267	1.6435027	0.9824253	1.0216153	0.94532	1.64374804510671	0.242141716744801	0.152980919704693	0.619033012977149	0.933509474604039	0.0442109167834001	0.0368560823323937	1.63360948669698	0.700100012092943
8	0	neg	0.9867527	0.9968513	0.9787135	0.9868346	0.9969358	0.9793141	0.973082067891984	0.267957152027187	0.03907307707477	-0.0188205319236652	0.934036144376838	0.0472578279776678	0.00941346508066204	0.971886905511502	0.0378507611346646
8	0	pos	0.9801296	0.9899653	1.1471611	0.9797011	0.9895169	1.0019614	1.14419178907246	0.267957152027187	0.03907307707477	0.158108113577652	0.934036144376838	0.0472578279776678	0.00941346508066204	1.14881555101282	0.214779406635982
8	0.9	neg	0.9799032	1.0196727	0.9417157	0.9799595	1.0197343	0.9424944	0.942453073901324	0.267957152027187	0.159279341342119	-0.0767209074108316	0.934036144376838	0.0472578279776678	0.0383734947448776	0.942946559688551	0.00891041531171376
8	0.9	pos	0.9850255	1.0260749	1.6766647	0.9846152	1.0255596	0.9493577	1.66531297063238	0.267957152027187	0.159279341342119	0.644519399977191	0.934036144376838	0.0472578279776678	0.0383734947448776	1.66418686707657	0.730150722699736
9	0	neg	0.9888693	0.997794	0.9735365	0.9890152	0.9979416	0.9743275	0.969108911509917	0.292893218813452	0.0365035142353892	-0.017582837248227	0.934544873843732	0.0498960562777573	0.00879440735928547	0.975652500232548	0.0411076263888158
9	0	pos	0.9848712	0.9943777	1.1405372	0.9843165	0.9938	1.0117721	1.1384351156485	0.292893218813452	0.0365035142353892	0.147710449414261	0.934544873843732	0.0498960562777573	0.00879440735928547	1.14094578689504	0.206400913051304
9	0.9	neg	0.9896792	1.0307871	0.9449241	0.9897346	1.0308702	0.9457153	0.938871229205514	0.292893218813452	0.163793479057784	-0.0788952555642396	0.934544873843732	0.0498960562777573	0.0394610384178367	0.945006712975086	0.0104618391313545
9	0.9	pos	0.9919605	1.0345082	1.7012843	0.9918605	1.0343382	0.9551564	1.70477537928209	0.292893218813452	0.163793479057784	0.662785731991118	0.934544873843732	0.0498960562777573	0.0394610384178367	1.68668770053044	0.752142826686713
10	0	neg	0.992408	1.0005361	0.9946328	0.992427	1.0005567	0.9950955	0.991118997748621	0.316979871622802	0.0340817039607129	-0.0164163113178431	0.9350362741174	0.0521599407566331	0.00821094610771758	0.978990849663907	0.0439545755465075
10	0	pos	0.9863514	0.994966	1.1281124	0.9855749	0.9941675	1.0085104	1.1276209669591	0.316979871622802	0.0340817039607129	0.137910661871568	0.9350362741174	0.0521599407566331	0.00821094610771758	1.13331782285332	0.198281548735918
10	0.9	neg	0.9867016	1.02851	0.9452879	0.9867181	1.0285473	0.9460305	0.94609363254389	0.316979871622802	0.166755036963778	-0.0803217645388691	0.9350362741174	0.0521599407566331	0.0401745353835118	0.947048985718676	0.0120127116012758
10	0.9	pos	0.979379	1.0215767	1.6868071	0.9786475	1.020711	0.9356373	1.69741405647374	0.316979871622802	0.166755036963778	0.674769593228146	0.9350362741174	0.0521599407566331	0.0401745353835118	1.70214034348569	0.767104069368291
11	0	neg	0.9890022	0.9970107	0.979448	0.9890283	0.9970366	0.9797702	0.981012639650003	0.340246044613552	0.0318103276610102	-0.0153222457013214	0.935510935493778	0.0540812834511587	0.00766372732990341	0.981933700573519	0.0464227650797407
11	0	pos	0.991992	1.0004057	1.1215326	0.9919992	1.0004079	1.025302	1.12308180214488	0.340246044613552	0.0318103276610102	0.12871960120123	0.935510935493778	0.0540812834511587	0.00766372732990341	1.12597554747607	0.190464611982292
11	0.9	neg	0.9854726	1.0274157	0.9422321	0.9855461	1.0275048	0.9429513	0.944968917718032	0.340246044613552	0.168370960480146	-0.0811001148097679	0.935510935493778	0.0540812834511587	0.0405638428231393	0.949055946958308	0.0135450114645301
11	0.9	pos	0.995249	1.0382937	1.7219333	0.9953062	1.0383185	0.9618831	1.72682922091315	0.340246044613552	0.168370960480146	0.681308382542583	0.935510935493778	0.0540812834511587	0.0405638428231393	1.71146444431066	0.775953508816881
