t	P	cov	vgamma_GRMstd	vgamma_GRMstd_ganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	vgamma_GRMld	vgamma_GRMld_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
3	0	pos	0.0727964285714286	0.0707321666666667	0.075977	0.0701964	0.197022	0.0685035	0.19559591408245	0.5	0.03125	0.126452250992334	0.938770132112654	0.0602298678873466	0.00752873348591832
3	0.9	neg	0.0654002857142857	0.0528096	0.121344571428571	0.0979829			0.00868659289555452	0.5	0.21434375	-0.103244067053986	0.938770132112654	0.0602298678873466	0.0516395829799138
3	0.9	pos	0.1088961	0.0660644	0.2028159	0.1230064	0.9887808		0.984407876076828	0.5	0.21434375	0.867335989556418	0.938770132112654	0.0602298678873466	0.0516395829799138
4	0	neg	0.0600799	0.0606755	0.063772	0.0644044	0.0568759	0.0570159	0.0567908439027406	0.5	0.015625	-0.00752617488365549	0.938770132112654	0.0602298678873466	0.00376436674295916
4	0	pos	0.0687218571428571	0.065571	0.0730746666666667	0.068511	0.131618	0.0646192	0.128077513789809	0.5	0.015625	0.0632261254961669	0.938770132112654	0.0602298678873466	0.00376436674295916
4	0.9	neg	0.0605511428571429	0.0539364	0.109953285714286	0.0978906			0.0113978723545651	0.5	0.2036265625	-0.0980818637012867	0.938770132112654	0.0602298678873466	0.049057603830918
4	0.9	pos	0.1038229	0.0730759	0.1887202	0.1328476	0.9356352		0.936703419992097	0.5	0.2036265625	0.823969190078597	0.938770132112654	0.0602298678873466	0.049057603830918
5	0	neg	0.0621853333333333	0.0627233333333333	0.0625922	0.0631452	0.0609675555555556	0.0609658888888889	0.0585866259609972	0.5	0.0078125	-0.00376308744182774	0.938770132112654	0.0602298678873466	0.00188218337147958
5	0	pos	0.0640866	0.0605366666666667	0.0648196666666667	0.0615262857142857	0.0878021	0.0583364285714286	0.0937763599532465	0.5	0.0078125	0.0316130627480835	0.938770132112654	0.0602298678873466	0.00188218337147958
5	0.9	neg	0.05562875	0.0502995	0.112728857142857	0.0892273			0.0133878831548173	0.5	0.193445234375	-0.0931777705162223	0.938770132112654	0.0602298678873466	0.0466047236393722
5	0.9	pos	0.1006155	0.0761488	0.1787614	0.1352945	0.8849551		0.892480149868746	0.5	0.193445234375	0.782770730574667	0.938770132112654	0.0602298678873466	0.0466047236393722
6	0	neg	0.0626945	0.0631818	0.0636529	0.0641477	0.0623521	0.0623707	0.0596183788010014	0.5	0.00390625	-0.00188154372091387	0.938770132112654	0.0602298678873466	0.00094109168573979
6	0	pos	0.0724354285714286	0.0690842857142857	0.072043	0.068109	0.0801252	0.0638322222222222	0.077051887512374	0.5	0.00390625	0.0158065313740417	0.938770132112654	0.0602298678873466	0.00094109168573979
6	0.9	neg	0.0566772	0.061345	0.098455	0.1065617			0.0159418614821144	0.5	0.18377297265625	-0.0885188819904112	0.938770132112654	0.0602298678873466	0.0442744874574035
6	0.9	pos	0.0809214	0.0535473	0.1408439	0.0931885	0.8465053		0.853225102251393	0.5	0.18377297265625	0.743632194045934	0.938770132112654	0.0602298678873466	0.0442744874574035
7	0	neg	0.06175325	0.0628593333333333	0.06243325	0.0633287777777778	0.0605079	0.061973	0.060035795450449	0.5	0.001953125	-0.000940771860456936	0.938770132112654	0.0602298678873466	0.000470545842869895
7	0	pos	0.0678078333333333	0.0644975714285714	0.0685865714285714	0.0649902857142857	0.0679133	0.061642375	0.0687039051002871	0.5	0.001953125	0.00790326568702087	0.938770132112654	0.0602298678873466	0.000470545842869895
7	0.9	neg	0.0559544	0.0595702	0.0950203	0.1011624			0.0182709955493903	0.5	0.174584324023437	-0.0840929378908906	0.938770132112654	0.0602298678873466	0.0420607630845333
7	0.9	pos	0.086934	0.0661866	0.1479214	0.1125927	0.8110515		0.811796075034776	0.5	0.174584324023437	0.706450584343637	0.938770132112654	0.0602298678873466	0.0420607630845333
8	0	neg	0.063087	0.0630996666666667	0.0629913333333333	0.0633324444444444	0.0613792	0.0614137	0.0602991404815308	0.5	0.0009765625	-0.000470385930228468	0.938770132112654	0.0602298678873466	0.000235272921434948
8	0	pos	0.066549	0.0635097777777778	0.0663525	0.0637534444444445	0.0672622	0.0622454	0.0643639986398697	0.5	0.0009765625	0.00395163284351043	0.938770132112654	0.0602298678873466	0.000235272921434948
8	0.9	neg	0.0609454	0.0638012	0.1014224	0.106174			0.0203830319662296	0.5	0.165855107822266	-0.0798882909963461	0.938770132112654	0.0602298678873466	0.0399577249303067
8	0.9	pos	0.0814087	0.0625175	0.1358229	0.1043178	0.7731152		0.776982121440013	0.5	0.165855107822266	0.671128055126455	0.938770132112654	0.0602298678873466	0.0399577249303067
9	0	neg	0.0593137142857143	0.059561	0.0594098571428572	0.0596577142857143	0.0566899	0.0566648	0.0602433329386583	0.5	0.00048828125	-0.000235192965114234	0.938770132112654	0.0602298678873466	0.000117636460717474
9	0	pos	0.0674147142857143	0.06484475	0.06680475	0.0649705	0.0644972	0.0622697	0.0623238044543352	0.5	0.00048828125	0.00197581642175522	0.938770132112654	0.0602298678873466	0.000117636460717474
9	0.9	neg	0.0528168	0.0569317	0.0956485555555556	0.0928666			0.0222597133843041	0.5	0.157562352431152	-0.0758938764465288	0.938770132112654	0.0602298678873466	0.0379598386837914
