t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
15	0	pos	0.98900375	0.97211529	1.00904002	0.98902196	0.96896476	1.01575508	0.99903271	0.938770132	0.060229868	1.84e-06	3.09e-05	0.99020154	0.96661663	1.00971505	0.99029169	0.96908784	1.01186458	0.98908602	0.9726865	1.00495046	0.9941446	0.9808127	1.0059363	0.9954535	0.9814208	1.0070232
15	0.9	neg	0.11095636	0.10829626	0.11354243	0.13164955	0.12899732	0.13377543	0.971114996	0.938770132	0.060229868	0.02790397	-0.055788973	0.15508256	0.1511894	0.15832752	0.13098491	0.12748235	0.13463482	0.131044	0.12797627	0.13434816	0.967511	0.9540397	0.9778464	0.9663038	0.9538215	0.9779548
15	0.9	pos	5.55427158	5.38583745	5.69264961	0.12943766	0.12801078	0.13077744	1.495577721	0.938770132	0.060229868	0.02790397	0.468673751	0.15274328	0.15102723	0.15434762	6.07013439	5.89967871	6.23306627	6.07416206	5.94075819	6.19832519	0.9620308	0.9561659	0.9686632	1.4940463	1.4759703	1.5104469
16	0	neg	0.99058125	0.97764231	1.0045377	0.98963341	0.97534195	1.00348152	0.998999082	0.938770132	0.060229868	9.19e-07	-1.84e-06	0.98862075	0.97611321	1.00646163	0.99097778	0.97625821	1.00321698	0.99070918	0.97677789	1.00294776	0.9946547	0.9856858	1.0032379	0.9955785	0.9873323	1.0029671
16	0	pos	1.00236195	0.98933017	1.01858496	1.0012448	0.98705703	1.0192067	0.999016355	0.938770132	0.060229868	9.19e-07	1.54e-05	1.00177477	0.98951022	1.01442891	1.00223508	0.9894957	1.01888714	1.00178924	0.98839173	1.01544104	1.0002452	0.9924348	1.00863	1.0013477	0.9932041	1.008924
16	0.9	neg	0.12197401	0.12070249	0.12310125	0.14323554	0.14158751	0.14543091	0.972509247	0.938770132	0.060229868	0.026508771	-0.052999524	0.16699177	0.16545147	0.16903876	0.14270534	0.14123717	0.14389457	0.14268461	0.14105911	0.14411671	0.9726923	0.964394	0.9805364	0.9727658	0.9660023	0.9792618
16	0.9	pos	5.50509295	5.39158727	5.59894052	0.13976153	0.13745882	0.14222667	1.470748835	0.938770132	0.060229868	0.026508771	0.445240064	0.16328074	0.16089267	0.16591932	5.99239731	5.85241348	6.12271205	5.98482901	5.84615615	6.13035368	0.9597157	0.9464258	0.9696897	1.4708818	1.4535984	1.4935286
17	0	neg	0.9968937	0.98219338	1.01209486	0.99460303	0.98054948	1.00939444	0.998999541	0.938770132	0.060229868	4.6e-07	-9.19e-07	0.99561707	0.98059444	1.00804127	0.9957999	0.97841004	1.00968668	0.99554531	0.98231003	1.00955877	0.9991432	0.9917843	1.0059928	0.9991628	0.9911436	1.0052407
17	0	pos	0.99070174	0.97581677	1.00589127	0.98960391	0.9727743	1.0047894	0.999008178	0.938770132	0.060229868	4.6e-07	7.72e-06	0.99082746	0.97418435	1.00948496	0.98956674	0.97085889	1.00720819	0.99189495	0.97406006	1.01204861	0.9916902	0.9817951	1.0020571	0.9934692	0.9826657	1.0038497
17	0.9	neg	0.13370902	0.13137972	0.13670567	0.15563794	0.15293063	0.1583368	0.973833784	0.938770132	0.060229868	0.025183333	-0.050349548	0.180033	0.1771989	0.18330613	0.15472529	0.15204224	0.15738641	0.15483513	0.15211354	0.1577083	0.9727676	0.9642675	0.98075	0.973501	0.9637396	0.9814511
